,Account,Text,Date,datetime,compound,neg,neu,pos
133,CBS News,U.S. Steel expansions touted by President Trump not happening https://t.co/IXW0RiHtsE https://t.co/VM3rezRwTF,2018-06-29,2018-06-29 04:03:04-04:00,-0.0516,0.107,0.893,0.0
134,CBS News,New details on death on father shot at a California campground https://t.co/xJVKHILPHT https://t.co/DQ15ZBrZPU,2018-06-29,2018-06-29 03:48:03-04:00,-0.5994,0.262,0.738,0.0
135,CBS News,A look back at Joe Jackson's complicated relationship with his children https://t.co/8aQRTqj7FS https://t.co/ulwSuVn1Mz,2018-06-29,2018-06-29 03:33:03-04:00,0.0,0.0,1.0,0.0
136,CBS News,"""That's a child"": Video shows dramatic rescue of missing 2-year-old in the woods https://t.co/slw6IbYDy9 https://t.co/mg2Y05Sn2v",2018-06-29,2018-06-29 03:18:03-04:00,0.2732,0.126,0.686,0.189
137,CBS News,Utah doomsday cult leader gets at least 15 years for sodomizing child https://t.co/JUza29QiNZ https://t.co/a1JzQJWyzy,2018-06-29,2018-06-29 03:03:04-04:00,-0.5859,0.226,0.774,0.0
138,CBS News,"Woman dubbed ""Pool Patrol Paula"" charged with assaulting black teen at swimming pool https://t.co/Px4xUM2wAj https://t.co/Macu3liW6a",2018-06-29,2018-06-29 02:48:03-04:00,-0.6249,0.282,0.718,0.0
139,CBS News,Cause of death determined for woman found dismembered in Brooklyn park https://t.co/5jKSGp8csJ https://t.co/Ft4ZqieHy7,2018-06-29,2018-06-29 02:33:04-04:00,-0.3612,0.225,0.636,0.139
140,CBS News,"""Breaking Bad"" cast reunites for 10th anniversary https://t.co/9Hq3NuPSrY https://t.co/tKsIaHEqvS",2018-06-29,2018-06-29 02:18:04-04:00,-0.5423,0.304,0.696,0.0
141,CBS News,"Photo of Geoffrey the Giraffe leaving an empty Toys ""R"" Us store goes viral https://t.co/4ZlxkucMvG https://t.co/ss4MY6QKEf",2018-06-29,2018-06-29 02:03:04-04:00,-0.2023,0.107,0.893,0.0
142,CBS News,Wynonna Judd's daughter Grace Pauline Kelley sentenced to 8 years in prison https://t.co/lkSedTgURc https://t.co/a3ubwmwCJk,2018-06-29,2018-06-29 01:48:05-04:00,-0.1531,0.256,0.581,0.163
